structure_inchikey_short,structure,organism
FIDWFJZZQLPPLI,http://www.wikidata.org/entity/Q104995648,Pseudomonas fluorescens
GHXLBZVIYYOQOC,http://www.wikidata.org/entity/Q105008795,Pseudomonas fluorescens
HGBIYXQMCATWPJ,http://www.wikidata.org/entity/Q105027674,Pseudomonas fluorescens
HGBIYXQMCATWPJ,http://www.wikidata.org/entity/Q105027673,Pseudomonas fluorescens
HNEZWICLBJHVDM,http://www.wikidata.org/entity/Q105030832,Pseudomonas fluorescens
HWHLENXKTHBBOW,http://www.wikidata.org/entity/Q105034655,Pseudomonas fluorescens
ILCQNIXUFLEAPR,http://www.wikidata.org/entity/Q105115093,Pseudomonas fluorescens
IPNWRFDCQUHSRD,http://www.wikidata.org/entity/Q105117346,Pseudomonas fluorescens
IUBMRJVNZLQSHU,http://www.wikidata.org/entity/Q105120453,Pseudomonas fluorescens
IUQZLPOODRVXJP,http://www.wikidata.org/entity/Q105120784,Pseudomonas fluorescens
JATBUOZGJQJSGA,http://www.wikidata.org/entity/Q105124020,Pseudomonas fluorescens
JAVUAZAUZQMQEQ,http://www.wikidata.org/entity/Q105124101,Pseudomonas fluorescens
JDWVQCZFRCKRNF,http://www.wikidata.org/entity/Q105125821,Pseudomonas fluorescens
JHAPBOBHPCBSFU,http://www.wikidata.org/entity/Q105127822,Pseudomonas fluorescens
LVTDKRIMXLJUAE,http://www.wikidata.org/entity/Q105158047,Pseudomonas fluorescens
MDWPTHONDMTCBU,http://www.wikidata.org/entity/Q105162002,Pseudomonas fluorescens
MJBKTLRPOJRSSH,http://www.wikidata.org/entity/Q105165328,Pseudomonas fluorescens
MMVSTTKMXIEOJW,http://www.wikidata.org/entity/Q105168132,Pseudomonas fluorescens
MTVGWSOXFKXUBB,http://www.wikidata.org/entity/Q105171893,Pseudomonas fluorescens
NVSQQGJQHRAZND,http://www.wikidata.org/entity/Q105186396,Pseudomonas fluorescens
NYBZAGXTZXPYND,http://www.wikidata.org/entity/Q105187442,Pseudomonas fluorescens
OAXPQNCOMDEHMJ,http://www.wikidata.org/entity/Q105188884,Pseudomonas fluorescens
OQNWMTGKQGGGEG,http://www.wikidata.org/entity/Q105197057,Pseudomonas fluorescens
OWPQRCRAFRHUIF,http://www.wikidata.org/entity/Q105202190,Pseudomonas fluorescens
QMZPYQGXHUSNRN,http://www.wikidata.org/entity/Q105224277,Pseudomonas fluorescens
QOSPQVAYQAYFMC,http://www.wikidata.org/entity/Q105225104,Pseudomonas fluorescens
QPGUMJSECSFGCC,http://www.wikidata.org/entity/Q105225376,Pseudomonas fluorescens
RWLGLNKWSVDAQH,http://www.wikidata.org/entity/Q105246558,Pseudomonas fluorescens
SBKWAHPUHRUGMG,http://www.wikidata.org/entity/Q105249508,Pseudomonas fluorescens
SLWLCNAVVKPOAH,http://www.wikidata.org/entity/Q105255702,Pseudomonas fluorescens
SQDCBBWHYFBJCF,http://www.wikidata.org/entity/Q105257774,Pseudomonas fluorescens
SVHMWKCRJHEWGC,http://www.wikidata.org/entity/Q105262010,Pseudomonas fluorescens
WAHMOFCRXZFEQB,http://www.wikidata.org/entity/Q105300202,Pseudomonas fluorescens
WAHMOFCRXZFEQB,http://www.wikidata.org/entity/Q105300209,Pseudomonas fluorescens
WTINGRXDSLFUKC,http://www.wikidata.org/entity/Q105312564,Pseudomonas fluorescens
WWOBFTFIJGHSQO,http://www.wikidata.org/entity/Q105314184,Pseudomonas fluorescens
YICOYZRDBWTZHR,http://www.wikidata.org/entity/Q105348760,Pseudomonas fluorescens
