ID1,ID2,EdgeType,Score,Annotation
2957,2958,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98202
2962,3247,MS1 annotation,4,[M+Na]+ [M+H]+ dm/z=21.98196
2967,2978,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
2968,2986,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98204
2999,3169,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9822
3034,3049,MS1 annotation,3,[2M+H]+ [M+Na]+ dm/z=206.1652
3034,3045,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98193
3074,3110,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.98197
3074,3083,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=295.21302
3074,3124,MS1 annotation,5,[M+K]+ [M+Na]+ dm/z=15.97428
3077,3110,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=339.17683
3077,3124,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=301.22057
3083,3124,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=279.23873
3096,3097,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98178
3096,3097,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98178
3107,3109,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02654
3110,3124,MS1 annotation,5,[M+K]+ [M+H]+ dm/z=37.95625
3141,3153,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98144
3141,3201,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02661
3150,3160,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98209
3174,3200,MS1 annotation,2,[M+2H]+2 [M+Na]+ dm/z=212.60005
3174,3200,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=212.60005
3208,3219,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98204
3228,3275,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=305.23395
3242,3358,MS1 annotation,5,[2M+Na]+ [M+K]+ dm/z=311.24156
3242,3301,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95655
3242,3275,MS1 annotation,5,[M+Na]+ [M+K]+ dm/z=15.97455
3252,3254,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98178
3271,3368,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98145
3275,3301,MS1 annotation,5,[M+H]+ [M+Na]+ dm/z=21.982
3289,3299,MS1 annotation,2,[M+NH4]+ [M+H-H2O]+ dm/z=35.03683
3301,3358,MS1 annotation,5,[2M+Na]+ [M+H]+ dm/z=349.19811
3340,3361,MS1 annotation,5,[M+Na]+ [2M+H]+ dm/z=240.14959
3353,3361,MS1 annotation,5,[M+Na]+ [M+H]+ dm/z=21.98186
3361,3459,MS1 annotation,5,[M+H-H2O]+ [M+Na]+ dm/z=39.9923
3361,3376,MS1 annotation,5,[M+H-H2O]+ [M+Na]+ dm/z=39.99208
3363,3370,MS1 annotation,2,[M+H]+ [M+NH4]+ dm/z=17.02658
3371,3399,MS1 annotation,5,[M+K]+ [2M+Na]+ dm/z=228.20512
3371,3554,MS1 annotation,5,[M+H]+ [2M+Na]+ dm/z=266.16074
3378,3379,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98263
3378,3383,MS1 annotation,3,[M+2H]+2 [M+Na]+ dm/z=298.14606
3378,3383,MS1 annotation,2,[M+H]+ [2M+Na]+ dm/z=298.14606
3381,3385,MS1 annotation,5,[2M+H]+ [M+Na]+ dm/z=222.19646
3381,3399,MS1 annotation,5,[M+K]+ [M+Na]+ dm/z=15.97334
3385,3399,MS1 annotation,5,[M+K]+ [2M+H]+ dm/z=206.22312
3399,3554,MS1 annotation,5,[M+H]+ [M+K]+ dm/z=37.95563
3405,3420,MS1 annotation,2,[2M+Na]+ [M+H]+ dm/z=278.11858
3406,3420,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98119
3434,3478,MS1 annotation,4,[M+K]+ [M+Na]+ dm/z=15.97421
3434,3475,MS1 annotation,4,[2M+2H]+2 [M+Na]+ dm/z=21.98207
3434,3456,MS1 annotation,4,[2M+H]+ [M+Na]+ dm/z=305.23394
3443,3450,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98257
3456,3478,MS1 annotation,4,[M+K]+ [2M+H]+ dm/z=289.25972
3475,3478,MS1 annotation,4,[M+K]+ [M+H]+ dm/z=37.95628
3475,3478,MS1 annotation,4,[M+K]+ [2M+2H]+2 dm/z=37.95628
3488,3494,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98242
3491,3495,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98216
3504,3512,MS1 annotation,3,[M+Na]+ [2M+H]+ dm/z=220.14533
3512,3513,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98176
3564,3581,MS1 annotation,2,[M+Na]+ [2M+H]+ dm/z=337.20464
3567,3575,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98168
3572,3574,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98215
3611,3618,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98195
3612,3613,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.9818
3627,3633,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02661
3629,3632,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98206
3657,3675,MS1 annotation,3,[M+K]+ [2M+Na]+ dm/z=315.23582
3657,3806,MS1 annotation,3,[M+H]+ [2M+Na]+ dm/z=353.19228
3675,3806,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95646
3689,3698,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98188
3695,3696,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98208
3699,3706,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98197
3704,3709,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98205
3739,3740,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98192
3763,3772,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97389
3763,3776,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.98219
3772,3776,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95608
3800,3933,MS1 annotation,3,[2M+H]+ [M+Na]+ dm/z=256.18039
3800,3930,MS1 annotation,3,[M+K]+ [M+Na]+ dm/z=15.97373
3808,3826,MS1 annotation,4,[M+Na]+ [2M+H]+ dm/z=321.26459
3813,3825,MS1 annotation,4,[M+H]+ [2M+Na]+ dm/z=365.22846
